요일,호선,역명,새벽,출근,오전,점심,오후,퇴근,저녁,심야
수요일,7호선,건대입구,0.2,0.9,1.1,0.7,1.2,1.3,0.8,0.7
수요일,7호선,고속터미널,0.2,1.0,1.3,0.8,1.3,1.2,0.7,0.6
수요일,7호선,공릉(서울과학기술대),0.2,1.0,0.8,0.5,0.9,1.0,0.7,0.6
수요일,7호선,광명사거리,0.6,1.8,1.3,0.9,1.5,1.7,1.0,0.8
수요일,7호선,군자(능동),0.3,1.2,1.0,0.5,0.9,1.2,0.8,0.7
수요일,7호선,남구로,0.4,1.7,1.1,0.5,0.8,1.6,0.7,0.5
수요일,7호선,남성,0.2,1.1,0.9,0.5,0.8,0.9,0.6,0.5
수요일,7호선,내방,0.2,1.4,1.2,0.6,1.0,1.6,0.7,0.6
수요일,7호선,노원,0.3,1.6,1.8,1.2,2.1,2.0,1.3,1.1
수요일,7호선,논현,0.2,1.6,1.5,0.6,1.1,2.0,1.0,1.0
수요일,7호선,대림(구로구청),0.2,0.6,0.7,0.5,0.8,0.7,0.4,0.4
수요일,7호선,도봉산,0.3,1.0,0.7,0.4,0.6,0.7,0.6,0.5
수요일,7호선,뚝섬유원지,0.1,0.7,0.6,0.3,0.6,0.7,0.5,0.4
수요일,7호선,마들,0.4,1.3,0.9,0.5,0.9,0.9,0.8,0.6
수요일,7호선,먹골,0.2,0.9,0.7,0.4,0.7,0.8,0.6,0.5
수요일,7호선,면목,0.4,1.5,1.0,0.6,1.1,1.1,0.8,0.6
수요일,7호선,반포,0.2,0.4,0.5,0.3,0.6,0.5,0.3,0.2
수요일,7호선,보라매,0.1,0.7,0.5,0.3,0.5,0.6,0.4,0.3
수요일,7호선,사가정,0.4,1.5,1.1,0.6,1.1,1.3,1.0,0.7
수요일,7호선,상도,0.2,1.0,0.9,0.5,0.9,1.0,0.6,0.6
수요일,7호선,상봉,0.3,1.6,1.1,0.6,1.1,1.4,1.1,0.9
수요일,7호선,수락산,0.3,1.1,0.9,0.5,0.9,0.9,0.7,0.5
수요일,7호선,숭실대입구(살피재),0.2,1.2,1.2,0.6,1.1,1.2,0.7,0.8
수요일,7호선,신대방삼거리,0.3,1.4,1.0,0.6,1.0,1.2,0.8,0.7
수요일,7호선,신풍,0.3,1.1,0.8,0.4,0.8,0.9,0.6,0.5
수요일,7호선,어린이대공원(세종대),0.2,1.3,1.5,0.8,1.3,1.4,0.8,0.8
수요일,7호선,온수(성공회대입구),0.3,1.2,0.6,0.3,0.6,0.8,0.5,0.4
수요일,7호선,용마산(용마폭포공원),0.1,0.6,0.4,0.2,0.4,0.4,0.3,0.3
수요일,7호선,이수,0.3,1.2,1.1,0.7,1.2,1.5,0.9,0.9
수요일,7호선,자양(뚝섬한강공원),0.2,0.7,0.6,0.4,0.8,0.9,0.6,0.6
수요일,7호선,장승배기,0.2,0.8,0.7,0.4,0.7,0.7,0.4,0.4
수요일,7호선,장암,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.0
수요일,7호선,중계,0.4,1.6,1.1,0.6,1.0,1.0,0.8,0.7
수요일,7호선,중곡,0.2,1.1,0.8,0.4,0.8,0.9,0.6,0.4
수요일,7호선,중화,0.3,1.0,0.7,0.4,0.7,0.8,0.6,0.5
수요일,7호선,천왕,0.3,1.3,0.7,0.4,0.7,0.9,0.6,0.5
수요일,7호선,철산,0.5,2.0,1.4,0.8,1.4,1.9,1.3,1.1
수요일,7호선,청담,0.4,2.1,1.6,0.6,1.2,2.0,1.0,0.6
수요일,7호선,태릉입구,0.2,0.7,0.7,0.4,0.7,0.7,0.5,0.4
수요일,7호선,하계,0.4,1.7,1.3,0.8,1.4,1.4,1.0,0.8
수요일,7호선,학동,0.3,2.4,2.3,0.7,1.4,2.7,1.2,0.8
수요일,8호선,가락시장,0.2,0.8,0.6,0.4,0.7,0.8,0.4,0.4
수요일,8호선,강동구청,0.2,1.1,0.8,0.4,0.7,1.0,0.5,0.4
수요일,8호선,남위례,0.1,0.8,0.5,0.3,0.5,0.7,0.4,0.3
수요일,8호선,남한산성입구(성남법원.검찰청),0.3,1.4,1.0,0.5,0.9,1.0,0.6,0.5
수요일,8호선,단대오거리,0.3,1.3,0.7,0.4,0.8,1.0,0.7,0.5
수요일,8호선,모란,0.1,0.3,0.3,0.2,0.5,0.4,0.2,0.2
수요일,8호선,몽촌토성(평화의문),0.1,0.7,0.5,0.3,0.5,0.7,0.4,0.3
수요일,8호선,문정,0.2,2.8,1.7,0.7,1.2,2.6,1.1,0.8
수요일,8호선,복정,0.2,0.9,0.6,0.3,0.5,0.8,0.5,0.4
수요일,8호선,산성,0.2,0.7,0.4,0.2,0.4,0.5,0.4,0.3
수요일,8호선,석촌,0.1,0.7,0.7,0.4,0.7,0.8,0.5,0.4
수요일,8호선,송파,0.2,0.9,0.7,0.4,0.7,0.8,0.5,0.4
수요일,8호선,수진,0.1,0.5,0.4,0.3,0.5,0.4,0.3,0.2
수요일,8호선,신흥,0.1,0.5,0.3,0.2,0.4,0.4,0.3,0.2
수요일,8호선,암사,0.4,1.9,1.2,0.6,1.1,1.4,0.9,0.7
