요일,호선,역명,06시 이전,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시 이후
토요일,3호선,지축,78,336,389,633,707,674,740,774,780,753,833,848,804,727,558,555,526,408,262,2
토요일,3호선,학여울,24,73,105,219,430,463,526,617,676,667,613,566,492,327,138,114,93,74,46,4
토요일,3호선,홍제,322,634,905,1469,1848,1889,2013,2142,2112,2110,2160,2372,2258,1892,1483,1255,1196,1001,591,7
토요일,4호선,길음,336,683,955,1687,1965,1978,2094,2286,2441,2277,2256,2509,2484,2115,1564,1415,1399,1298,803,7
토요일,4호선,남태령,21,47,80,175,162,152,173,200,172,156,153,174,180,115,94,112,73,71,48,11
토요일,4호선,노원,416,827,1183,2227,2784,2683,2958,3431,3519,3383,3399,3712,3842,3487,2785,2543,2419,2121,1342,166
토요일,4호선,당고개,237,410,621,1023,1210,1089,1001,1062,1075,1033,1047,1113,1102,946,763,678,651,572,416,60
토요일,4호선,동대문,90,282,501,869,1406,2120,2630,2822,3004,3230,3219,3125,2741,2034,1532,1300,1147,850,404,26
토요일,4호선,동대문역사문화공원(DDP),127,378,525,907,1340,1723,1912,2102,2263,2522,2693,2944,2825,2519,2062,1891,1802,1449,852,42
토요일,4호선,동작(현충원),16,106,128,168,212,212,217,215,240,285,311,311,318,292,235,264,177,103,63,20
토요일,4호선,명동,96,637,932,1669,2937,3548,4273,4689,5070,5354,5761,6317,6300,5644,4998,4555,3958,3227,1428,52
토요일,4호선,미아(서울사이버대학),424,619,906,1413,1531,1468,1604,1746,1771,1609,1604,1792,1815,1529,1197,1048,1051,843,536,5
토요일,4호선,미아사거리,519,884,1308,2244,2753,2718,3010,3191,3310,3173,3263,3525,3510,3048,2415,2303,2006,1632,973,6
